,Tokens,Tagged Sentence
10,"['Everest', ',', 'with', 'Nuptse', 'and', 'Lhotse', 'peaks', 'to', 'the', 'upper', 'right', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['The', 'pair', 'of', 'Makalu', 'walking', 'sticks', 'will', 'accompany', 'you', 'on', 'all', 'your', 'hikes', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['The', 'priority', 'zone', 'would', 'be', ',', 'for', 'her', ',', 'Makalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
13,"['These', 'future', 'projects', 'can', 'improve', 'considerably', 'the', 'living', 'conditions', 'of', 'the', 'inhabitants', 'of', 'the', 'Makalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
14,"['It', 'is', 'very', 'difficult', 'to', 'climb', 'Cho', 'Oyu', 'by', 'old', 'route', 'but', 'recently', 'the', 'route', 'has', 'been', 'modified', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Two', 'lakes', 'with', 'clean', 'water', 'reflects', 'Cho', 'Oyu', ',', 'giving', 'place', 'to', 'an', 'outstanding', 'spectacle', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['Day', '08', 'Dole', '-', 'Machermo', '(', '4440m', ')', ':', 'The', 'trail', 'passes', 'from', 'one', 'village', 'to', 'another', ',', 'after', 'an', 'hour', 'walk', ',', 'we', 'come', 'to', 'Luza', '(', '4360m', '.', ')', 'and', 'we', 'progressively', 'discover', 'new', 'mountains', ',', 'especially', 'Cho', 'Oyu', '(', '8143m', ')', 'making', 'border', 'with', 'Tibet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['There', 'you', 'can', 'enjoy', 'the', 'scenery', 'of', 'High', 'mountains', 'like', 'Dhaulagiri', 'and', 'Annapurna', 'I', 'and', 'many', 'more', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
18,"['Changunarayana', '-', 'located', 'on', 'a', 'hill', 'also', 'known', 'as', 'Changu', 'or', 'Dhaulagiri', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
19,"['In', 'front', 'of', 'the', 'Dhaulagiri', 'summit', ',', 'in', 'the', 'very', 'demanding', 'mountain', 'environment', ',', 'Cairn', ""'s"", 'founders', 'realized', 'that', 'passion', 'is', 'not', 'enough', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['The', 'same', 'year', 'he', 'climbed', 'a', 'new', 'route', 'on', 'Manaslu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
21,"['We', 'leave', 'the', 'Manaslu', ',', 'empty', '.']","['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
22,"['This', 'film', 'represents', 'the', 'experience', 'of', 'walking', 'in', 'a', 'valley', 'round', 'the', 'Manaslu', 'in', 'Nepal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
23,"['Helias', ""'s"", 'experience', 'on', 'Nanga', 'Parbat', 'two', 'months', 'ago', 'is', 'an', 'important', 'asset', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['There', 'is', 'no', 'precise', 'definition', 'of', 'surrounding', 'base', ',', 'but', 'Denali', ',', 'Mount', 'Kilimanjaro', 'and', 'Nanga', 'Parbat', 'are', 'possible', 'candidates', 'for', 'the', 'tallest', 'mountain', 'on', 'land', 'by', 'this', 'measure', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['The', 'experience', 'of', 'trailing', 'the', 'Diamir', 'Flank', 'on', 'Nanga', 'Parbat', 'has', 'been', 'combined', 'with', 'expertise', 'in', 'modern', 'rocker', 'construction', ',', 'with', 'no', 'concessions', 'made', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['This', 'is', 'the', 'perfect', 'year', 'to', 'climb', 'Annapurna', 'solo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']"
27,"['Vina', 'Annapurna', 'offers', 'an', 'incredible', 'selection', 'of', 'regional', 'and', 'seasonal', 'produce', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['During', 'the', 'trek', 'the', 'whole', 'stunning', 'Annapurna', 'range', 'can', 'be', 'observed', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']"
29,"['Hajzer', 'was', 'still', 'explaining', 'Broad', 'Peak', 'when', 'another', 'integration', 'expedition', 'set', 'out', 'on', 'Dhaulagiri', 'in', 'April', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
30,"['Broad', 'Peak', 'is', 'the', 'world', ""'s"", '12th', 'highest', 'mountain', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['Other', 'teams', ',', 'which', 'have', 'already', 'reached', 'their', 'respective', 'Base', 'camps', '(', 'G1', ',', 'G2', 'and', 'Broad', 'Peak', ')', ',', 'have', 'begun', 'their', 'acclimatization', 'rotations', 'and', 'have', 'informed', 'of', 'rather', 'strong', 'snow', 'conditions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['Another', 'expedition', 'they', 'went', 'on', 'together', 'was', 'a', 'summer', 'expedition', 'to', 'Shishapangma', 'in', 'August', '1987', ',', 'during', 'which', 'they', 'established', 'a', 'new', 'route', 'on', 'the', 'western', 'ridge', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['High', 'point', 'at', '8027', 'meters', ',', 'the', 'Shishapangma', 'is', 'the', 'fourth', 'highest', 'summit', 'of', 'the', 'world', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['We', 'are', 'heading', 'up', 'to', 'Tingri', 'tomrrow', 'morning', 'and', 'with', 'fingers', 'crossed', 'we', 'will', 'get', 'a', 'great', 'view', 'of', 'Shishapangma', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
35,"['Cho-Oyu', ',', 'Gyachung', 'Kang', ',', 'Everest', ',', 'Lhotse', ',', 'Nuptse', ',', 'and', 'Makulu', 'mountains', 'and', 'the', 'huge', 'Ngozumba', 'Glacier', 'are', 'ours', 'to', 'admire', '.']","['O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['First', 'ascent', 'of', 'the', 'north', 'wall', 'of', 'the', 'Gyachung', 'Kang', ',', 'Nepal']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
37,"['Significant', 'new', 'routes', 'on', 'Gasherbrum', 'I', ',', 'Everest', ',', 'Xixabangma', 'and', 'Gyachung', 'Kang', ',', 'together', 'with', 'the', 'first', 'ascents', 'of', 'two', 'coveted', '7,000ers', ',', 'Menlungtse', 'and', 'Janak', ',', 'exemplify', 'why', 'Andrej', 'was', 'a', 'worthy', 'recipient', 'of', 'the', '2018', 'Piolets', ""d'Or"", 'Lifetime', 'Achievement', 'Award', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['Now', ',', 'but', 'very', 'briefly', ',', 'appears', ',', 'masterly', ',', 'the', 'summit', 'peaks', 'of', 'Annapurna', 'II', 'and', 'IV', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
39,"['We', 'can', 'see', 'the', 'amazing', 'views', 'of', 'Annapurna', 'II', '(', '7937m', ')', 'and', 'Annapurna', 'III', '(', '7555m', ')', 'on', 'our', 'way', 'the', 'village', '.', 'Stay', 'overnight', 'at', 'Lodge', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"['Current', 'local', 'time', 'in', 'Annapurna', 'II']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
41,"['The', 'route', 'can', 'make', 'anyone', 'awe', 'stuck', 'with', 'the', 'mesmerizing', 'views', 'of', 'some', 'of', 'the', 'highest', 'and', 'the', 'most', 'beautiful', 'mountains', 'in', 'the', 'world', 'that', 'includes', 'Annapurna', 'South', ',', 'Machhapuchchhre', ',', 'Himalchuli', 'among', 'others', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O']"
42,"['The', 'city', 'offers', 'a', 'complete', 'panoramic', 'view', 'of', 'the', 'snow-capped', 'ranges', 'from', 'Karyolung', 'in', 'the', 'east', 'to', 'Himalchuli', 'in', 'the', 'west', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
43,"['The', 'pass', 'offers', 'spectacular', 'views', 'of', 'Mt', '.', 'Manaslu', ',', 'Annapurna', ',', 'Himalchuli', 'etc', '.', 'Along', 'the', 'trail', 'you', 'will', 'have', 'plenty', 'of', 'opportunities', 'to', 'interact', 'with', 'local', 'people', 'who', 'are', 'called', 'Nupris', 'who', 'have', 'culture', 'and', 'lifestyles', 'akin', 'to', 'Tibetans', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['Today', 'morning', ',', 'he', 'had', 'an', 'accident', 'on', 'the', 'Nuptse', 'wall', 'and', 'died', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
45,"['A', 'new', 'route', 'forged', ',', 'in', 'alpine', 'style', ',', 'up', 'the', 'south', 'face', 'of', 'Nuptse']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN']"
46,"['One', 'more', 'picture', 'of', 'the', 'Nuptse', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
47,"['Khunyang', 'Chhish', 'is', 'the', 'twenty-first-highest', 'independent', 'mountain', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['Today', ',', 'K1', 'is', 'known', 'as', 'Masherbrum', ',', 'K3', 'as', 'Gasherbrum', 'IV', ',', 'K4', 'as', 'Gasherbrum', 'II', 'and', 'K5', 'as', 'Gasherbrum', 'I', '.', 'Only', 'K2', ',', 'the', 'second', 'highest', 'mountain', 'in', 'the', 'world', ',', 'has', 'retained', 'Montgomerie', ""'s"", 'name', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
49,"['Meanwhile', ',', 'the', 'clouds', 'collect', 'on', 'the', 'Nanda', 'Devi', 'massif', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']"
50,"['Nanda', 'Devi', 'National', 'Park', 'is', 'located', 'in', 'a', 'very', 'remote', 'area', ',', 'and', 'due', 'to', 'difficulty', 'of', 'access', ',', 'remains', 'well', 'protected', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,"['Milam', 'Valley', '-', 'On', 'the', 'trail', 'of', 'Nanda', 'Devi']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN']"
52,"['Then', 'Chomo', 'Lonzo', 'in', '2005', ',', 'and', 'lastly', 'Pumari', 'Kish', 'in', '2007', ';', 'we', 'actually', 'wrote', 'an', 'article', 'entitled', '``', 'Amoureux', 'de', 'Pumari', ""''"", '[', '``', 'In', 'Love', 'with', 'Pumari', ""''"", ']', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
53,"['The', 'following', 'year', ',', 'capitalising', 'on', 'our', 'recce', 'of', 'the', 'area', ',', 'in', '2005', 'we', 'joined', 'a', 'national', 'expedition', 'to', 'ascend', 'the', 'virgin', 'summit', 'of', 'Chomo', 'Lonzo', '(', '7,500m', ')', ',', 'a', 'satellite', 'of', 'Makalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
54,"['Kanjut', 'Sar', 'I', 'was', 'first', 'climbed', 'in', '1959', 'by', 'Camillo', 'Pellissier', ',', 'member', 'of', 'an', 'Italian', 'expedition', 'directed', 'by', 'Guido', 'Monzino', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
55,"['A', 'tourist', 'spot', 'in', 'the', 'town', 'of', 'Ghulmat', '(', 'located', 'in', 'the', 'Nagar', 'Valley', ')', 'called', '``', 'Zero', 'Point', 'of', 'Rakaposhi', ""''"", 'is', 'the', 'closest', 'viewpoint', 'of', 'the', 'mountain', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['Get', 'the', 'full', 'description', 'It', 'is', 'an', 'easy', 'trek', 'leading', 'straight', 'to', 'the', 'feet', 'of', 'Rakaposhi', '(', '7790', ')', 'and', 'Diran', '(', '7250m', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O']"
57,"['This', 'mountainous', 'village', 'has', 'experienced', 'international', 'fame', '-', 'with', 'every', 'keen', 'climber', 'in', 'the', 'world', 'visiting', 'this', 'place', '-', 'but', 'this', 'balcony/shelf', 'overlooking', 'the', 'Hunza', 'valley', 'and', 'the', 'splendid', 'Rakaposhi', '(', 'peaking', 'at', '7,800m', ')', 'is', 'still', 'deserted', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['This', 'new', 'species', 'was', 'discovered', 'in', 'the', 'Namcha', 'Barwa', 'canyon', 'in', 'Tibet', 'in', 'the', 'summer', 'of', '2003', 'by', 'Yuan', 'Yong-Ming', 'and', 'Ge', 'Xue-Jun', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,"['As', 'we', 'crept', 'over', 'Segrila', 'Pass', 'at', '4,700', 'meters', 'above', 'sea', 'level', ',', 'someone', 'in', 'our', 'Jeep', 'shouted', ',', '``', 'The', 'mountain', 'at', 'two', ""o'clock"", 'is', 'Namcha', 'Barwa', 'Peak', '!', ""''""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']"
60,"['Namcha', 'Barwa', 'is', 'a', '7,782', 'metres', '(', '25,531', 'ft', ')', 'mountain', 'in', 'the', 'Himalayas', 'range', ',', 'in', 'Tibet', '.', 'It', 'is', 'the', '28th', 'highest', 'mountain', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
61,"['Kamet', ':', 'a', 'start-up', 'studio', 'created', 'by', 'AXA', 'to', 'reinvent', 'insurance']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
62,"['The', 'hooded', 'men', ""'s"", 'KAMET', 'JACKET', 'from', 'Ternua', 'is', 'ideal', 'for', 'all', 'types', 'of', 'mountain', 'activities', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
63,"['In', 'the', 'north', ',', 'the', 'Great', 'Himalayan', 'Mountain', 'range', 'is', 'the', 'highest', 'and', 'home', 'to', 'planet', ""'s"", 'highest', 'mountain', 'peaks', 'such', 'as', 'Kanchenjunga', ',', 'Nanda', 'Devi', 'and', 'Kamet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'B-MOUNTAIN', 'O']"
64,"['The', 'first', 'ascent', 'of', 'Saltoro', 'Kangri', 'was', 'in', '1962', ',', 'by', 'a', 'joint', 'Japanese-Pakistani', 'expedition', 'led', 'by', 'T.', 'Shidei', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
65,"['The', 'doors', 'of', 'an', 'exceptional', 'mountain', 'world', 'ready', 'to', 'open', 'on', 'Saltoro', ',', 'Saser', 'Kangri', ',', 'of', 'Teram', 'and', 'other', 'Rimo', 'ranges', ':', 'an', 'open', 'fantastic', 'play-ground', 'for', 'all', 'climbers', 'in', '2008', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
66,"['These', 'two', 'alpinists', ',', 'members', 'of', 'the', 'expedition', 'to', 'the', 'North', 'Face', 'of', 'Jannu', 'in', 'January', '2004', ',', 'specified', 'that', 'they', 'used', 'no', 'bolts', 'to', 'open', 'this', 'route', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
